Joueur 1: 23AK5 (926), type : 0
Joueur 694: J9669 (994), type : 4
Joueur 695: JTTKK (74), type : 4
Joueur 696: JK7K7 (813), type : 4
Joueur 697: JAQQA (832), type : 4
Joueur 698: 2JQ2Q (819), type : 4
Joueur 699: 22442 (625), type : 4
Joueur 700: 25225 (382), type : 4
Joueur 701: 26226 (120), type : 4
Joueur 702: 29292 (570), type : 4
Joueur 703: 3232J (818), type : 4
Joueur 704: 33KJK (237), type : 4
Joueur 705: 33K3K (114), type : 4
Joueur 706: 3663J (860), type : 4
Joueur 707: 3QQ33 (399), type : 4
Joueur 708: 3A3A3 (73), type : 4
Joueur 709: 3AA3A (701), type : 4
Joueur 710: 44333 (630), type : 4
Joueur 711: 44433 (310), type : 4
Joueur 712: 44455 (725), type : 4
Joueur 713: 44747 (737), type : 4
Joueur 714: 44999 (804), type : 4
Joueur 715: 45554 (115), type : 4
Joueur 716: 48488 (279), type : 4
Joueur 717: 4TJ4T (855), type : 4
Joueur 718: 4QQQ4 (217), type : 4
Joueur 719: 4KKK4 (109), type : 4
Joueur 720: 5J252 (951), type : 4
Joueur 721: 52525 (790), type : 4
Joueur 722: 53353 (196), type : 4
Joueur 723: 5566J (54), type : 4
Joueur 724: 55775 (613), type : 4
Joueur 725: 558J8 (443), type : 4
Joueur 726: 55858 (867), type : 4
Joueur 727: 59599 (934), type : 4
Joueur 728: 5TT5T (759), type : 4
Joueur 729: 63363 (970), type : 4
Joueur 730: 66226 (113), type : 4
Joueur 731: 66336 (734), type : 4
Joueur 732: 66644 (332), type : 4
Joueur 733: 666TT (383), type : 4
Joueur 734: 66996 (890), type : 4
Joueur 735: 66Q6Q (898), type : 4
Joueur 736: 66KK6 (173), type : 4
Joueur 737: 6886J (179), type : 4
Joueur 738: 7227J (409), type : 4
Joueur 739: 75775 (195), type : 4
Joueur 740: 76667 (534), type : 4
Joueur 741: 77272 (482), type : 4
Joueur 742: 77333 (996), type : 4
Joueur 743: 77447 (359), type : 4
Joueur 744: 77878 (834), type : 4
Joueur 745: 79977 (59), type : 4
Joueur 746: 79979 (859), type : 4
Joueur 747: 7Q77Q (176), type : 4
Joueur 748: 7QQQ7 (845), type : 4
Joueur 749: 7A7A7 (523), type : 4
Joueur 750: 83383 (892), type : 4
Joueur 751: 83388 (537), type : 4
Joueur 752: 8383J (441), type : 4
Joueur 753: 84484 (286), type : 4
Joueur 754: 85858 (250), type : 4
Joueur 755: 87788 (222), type : 4
Joueur 756: 88822 (395), type : 4
Joueur 757: 8TTT8 (904), type : 4
Joueur 758: 8K8K8 (976), type : 4
Joueur 759: 8AAJ8 (802), type : 4
Joueur 760: 9JQQ9 (353), type : 4
Joueur 761: 93933 (801), type : 4
Joueur 762: 95559 (645), type : 4
Joueur 763: 98899 (809), type : 4
Joueur 764: 99922 (352), type : 4
Joueur 765: 999KK (954), type : 4
Joueur 766: 9A9A9 (744), type : 4
Joueur 767: TJT33 (999), type : 4
Joueur 768: T33T3 (440), type : 4
Joueur 769: T5JT5 (730), type : 4
Joueur 770: T66TT (583), type : 4
Joueur 771: T77T7 (462), type : 4
Joueur 772: T888T (686), type : 4
Joueur 773: T99TT (426), type : 4
Joueur 774: TT444 (669), type : 4
Joueur 775: TT44T (661), type : 4
Joueur 776: TT77T (372), type : 4
Joueur 777: TT999 (460), type : 4
Joueur 778: TQTQQ (156), type : 4
Joueur 779: TATTA (683), type : 4
Joueur 780: QJ66Q (15), type : 4
Joueur 781: Q22QQ (675), type : 4
Joueur 782: Q4JQ4 (826), type : 4
Joueur 783: Q999Q (475), type : 4
Joueur 784: QQ55Q (947), type : 4
Joueur 785: QQ8J8 (957), type : 4
Joueur 786: QQ88Q (421), type : 4
Joueur 787: QQQ33 (519), type : 4
Joueur 788: QQAQA (811), type : 4
Joueur 789: QAAAQ (357), type : 4
Joueur 790: K222K (304), type : 4
Joueur 791: K4K4J (17), type : 4
Joueur 792: K555K (762), type : 4
Joueur 793: K66KJ (47), type : 4
Joueur 794: KQQQK (281), type : 4
Joueur 795: KKQQJ (736), type : 4
Joueur 796: KKK55 (85), type : 4
Joueur 797: KKAAA (600), type : 4
Joueur 798: A22A2 (298), type : 4
Joueur 799: A444A (689), type : 4
Joueur 800: A55AA (163), type : 4
Joueur 801: A5AJ5 (991), type : 4
Joueur 802: A7JA7 (917), type : 4
Joueur 803: ATJAT (943), type : 4
Joueur 804: ATATA (978), type : 4
Joueur 805: AKAJK (128), type : 4
Joueur 806: AA77A (127), type : 4
Joueur 807: AAA22 (566), type : 4
Joueur 808: JJ2AA (695), type : 5
Joueur 809: JJQAJ (319), type : 5
Joueur 810: JJAA9 (242), type : 5
Joueur 811: J2555 (698), type : 5
Joueur 812: J2777 (797), type : 5
Joueur 813: J2KKJ (893), type : 5
Joueur 814: J3336 (76), type : 5
Joueur 815: J5333 (786), type : 5
Joueur 816: J595J (682), type : 5
Joueur 817: J63J3 (591), type : 5
Joueur 818: J6866 (872), type : 5
Joueur 819: J6999 (595), type : 5
Joueur 820: J6AAA (707), type : 5
Joueur 821: J844J (456), type : 5
Joueur 822: J888A (929), type : 5
Joueur 823: JT4TJ (327), type : 5
Joueur 824: JK7KK (377), type : 5
Joueur 825: JKTKK (875), type : 5
Joueur 826: JA9AA (93), type : 5
Joueur 827: 2J228 (538), type : 5
Joueur 828: 2J232 (788), type : 5
Joueur 829: 22223 (844), type : 5
Joueur 830: 22522 (490), type : 5
Joueur 831: 25J5J (257), type : 5
Joueur 832: 26J22 (191), type : 5
Joueur 833: 27777 (791), type : 5
Joueur 834: 2A222 (449), type : 5
Joueur 835: 3233J (301), type : 5
Joueur 836: 33233 (368), type : 5
Joueur 837: 33337 (70), type : 5
Joueur 838: 33339 (807), type : 5
Joueur 839: 3333T (213), type : 5
Joueur 840: 33353 (98), type : 5
Joueur 841: 33383 (899), type : 5
Joueur 842: 34333 (880), type : 5
Joueur 843: 3933J (961), type : 5
Joueur 844: 39999 (245), type : 5
Joueur 845: 3Q333 (37), type : 5
Joueur 846: 3QQJQ (429), type : 5
Joueur 847: 4J445 (615), type : 5
Joueur 848: 4J64J (367), type : 5
Joueur 849: 444JK (545), type : 5
Joueur 850: 44442 (389), type : 5
Joueur 851: 44448 (221), type : 5
Joueur 852: 44464 (407), type : 5
Joueur 853: 444Q4 (211), type : 5
Joueur 854: 44544 (505), type : 5
Joueur 855: 44T44 (868), type : 5
Joueur 856: 48888 (827), type : 5
Joueur 857: 5J44J (891), type : 5
Joueur 858: 5JTJ5 (478), type : 5
Joueur 859: 52J22 (432), type : 5
Joueur 860: 554J5 (463), type : 5
Joueur 861: 55455 (320), type : 5
Joueur 862: 555J3 (388), type : 5
Joueur 863: 55535 (800), type : 5
Joueur 864: 55557 (568), type : 5
Joueur 865: 5555T (836), type : 5
Joueur 866: 55855 (470), type : 5
Joueur 867: 5595J (477), type : 5
Joueur 868: 56555 (177), type : 5
Joueur 869: 5KKJK (402), type : 5
Joueur 870: 5A555 (32), type : 5
Joueur 871: 6J626 (941), type : 5
Joueur 872: 6J669 (920), type : 5
Joueur 873: 6JTTT (107), type : 5
Joueur 874: 62222 (64), type : 5
Joueur 875: 66J56 (906), type : 5
Joueur 876: 66266 (297), type : 5
Joueur 877: 66636 (833), type : 5
Joueur 878: 66656 (417), type : 5
Joueur 879: 66669 (189), type : 5
Joueur 880: 66K66 (916), type : 5
Joueur 881: 676J6 (21), type : 5
Joueur 882: 68666 (62), type : 5
Joueur 883: 6A666 (323), type : 5
Joueur 884: 7J774 (629), type : 5
Joueur 885: 7J776 (974), type : 5
Joueur 886: 7J7Q7 (728), type : 5
Joueur 887: 7JAJA (775), type : 5
Joueur 888: 72222 (160), type : 5
Joueur 889: 744JJ (87), type : 5
Joueur 890: 74444 (543), type : 5
Joueur 891: 77J73 (900), type : 5
Joueur 892: 77477 (487), type : 5
Joueur 893: 77776 (129), type : 5
Joueur 894: 7777T (312), type : 5
Joueur 895: 7777K (476), type : 5
Joueur 896: 77797 (592), type : 5
Joueur 897: 778J7 (515), type : 5
Joueur 898: 77Q77 (513), type : 5
Joueur 899: 77A77 (29), type : 5
Joueur 900: 79999 (42), type : 5
Joueur 901: 7QQQQ (97), type : 5
Joueur 902: 7KJJK (932), type : 5
Joueur 903: 8JQ8J (517), type : 5
Joueur 904: 85J55 (823), type : 5
Joueur 905: 88288 (605), type : 5
Joueur 906: 88788 (379), type : 5
Joueur 907: 88838 (401), type : 5
Joueur 908: 88868 (485), type : 5
Joueur 909: 898JJ (746), type : 5
Joueur 910: 9J799 (653), type : 5
Joueur 911: 94444 (459), type : 5
Joueur 912: 99J9T (710), type : 5
Joueur 913: 99699 (197), type : 5
Joueur 914: 99992 (765), type : 5
Joueur 915: 9K99J (778), type : 5
Joueur 916: 9A9J9 (879), type : 5
Joueur 917: TJ222 (743), type : 5
Joueur 918: TJ9TT (507), type : 5
Joueur 919: T2TJT (358), type : 5
Joueur 920: T4TTT (378), type : 5
Joueur 921: T6666 (348), type : 5
Joueur 922: T8888 (439), type : 5
Joueur 923: TT5TT (935), type : 5
Joueur 924: TTT6T (751), type : 5
Joueur 925: TTTT2 (525), type : 5
Joueur 926: TTTT8 (405), type : 5
Joueur 927: TTTT9 (45), type : 5
Joueur 928: TTTAJ (91), type : 5
Joueur 929: TTKTJ (450), type : 5
Joueur 930: TQTTT (702), type : 5
Joueur 931: QJJQA (365), type : 5
Joueur 932: QJQQA (535), type : 5
Joueur 933: Q22J2 (258), type : 5
Joueur 934: Q5555 (878), type : 5
Joueur 935: Q5QQJ (703), type : 5
Joueur 936: Q5QQQ (65), type : 5
Joueur 937: Q6J66 (422), type : 5
Joueur 938: Q6666 (699), type : 5
Joueur 939: Q7JQQ (936), type : 5
Joueur 940: QQ9JQ (247), type : 5
Joueur 941: QQQ6J (203), type : 5
Joueur 942: QQQ9Q (455), type : 5
Joueur 943: QQQQ3 (335), type : 5
Joueur 944: QQQQ6 (963), type : 5
Joueur 945: QQQKQ (398), type : 5
Joueur 946: QKJQQ (124), type : 5
Joueur 947: KJJ5K (100), type : 5
Joueur 948: KJ777 (995), type : 5
Joueur 949: K6KJK (350), type : 5
Joueur 950: K8888 (317), type : 5
Joueur 951: KQKKK (894), type : 5
Joueur 952: KKJK8 (161), type : 5
Joueur 953: KK9KJ (831), type : 5
Joueur 954: KKQJK (219), type : 5
Joueur 955: KKK3K (437), type : 5
Joueur 956: KKK4K (77), type : 5
Joueur 957: KKKK8 (263), type : 5
Joueur 958: KKKKT (108), type : 5
Joueur 959: AJ333 (504), type : 5
Joueur 960: AJATJ (464), type : 5
Joueur 961: A3AJA (119), type : 5
Joueur 962: A8888 (75), type : 5
Joueur 963: A8AAA (99), type : 5
Joueur 964: ATTTT (750), type : 5
Joueur 965: AQQQQ (510), type : 5
Joueur 966: AAJ5A (354), type : 5
Joueur 967: AAJ8A (170), type : 5
Joueur 968: AA3AA (206), type : 5
Joueur 969: AA4AA (313), type : 5
Joueur 970: AA5AA (673), type : 5
Joueur 971: AAAA7 (747), type : 5
Joueur 972: AAAAT (105), type : 5
Joueur 973: JJJJJ (396), type : 6
Joueur 974: JJJJ8 (226), type : 6
Joueur 975: JJJ77 (174), type : 6
Joueur 976: JJ888 (763), type : 6
Joueur 977: JJAAA (623), type : 6
Joueur 978: J55JJ (531), type : 6
Joueur 979: J555J (256), type : 6
Joueur 980: JTJTJ (722), type : 6
Joueur 981: JQQJQ (284), type : 6
Joueur 982: JKKKK (670), type : 6
Joueur 983: 2222J (967), type : 6
Joueur 984: 3J333 (117), type : 6
Joueur 985: 33J3J (11), type : 6
Joueur 986: 4J4J4 (235), type : 6
Joueur 987: 4J444 (140), type : 6
Joueur 988: 555J5 (509), type : 6
Joueur 989: 6J6J6 (451), type : 6
Joueur 990: 6J666 (550), type : 6
Joueur 991: 7J777 (397), type : 6
Joueur 992: 88J88 (528), type : 6
Joueur 993: 99J99 (248), type : 6
Joueur 994: 999JJ (329), type : 6
Joueur 995: TJTJT (594), type : 6
Joueur 996: TTJTT (950), type : 6
Joueur 997: QJJJQ (299), type : 6
Joueur 998: QJQQQ (677), type : 6
Joueur 999: KJKKJ (850), type : 6
Joueur 1000: AAAJA (166), type : 6
